# category|code|name|description|price|source markers (not rendered; verify before use)
Khai vị / Vorspeisen|1|Nem chay|Kleine vegetarische Rollen, knusprig gebacken; Süß-Chili-Sauce · 8 Stk.|4,50|6
Khai vị / Vorspeisen|2|Nem rán|Frühlingsrollen mit Huhn, Glasnudeln, Morcheln und Karotten · 2 Stk.|4,90|4,6
Khai vị / Vorspeisen|3|Wantan chiên|Knusprig gebackene Teigtaschen mit Huhn · 6 Stk.|5,50|1,2,6
Khai vị / Vorspeisen|4|Thịt xiên nướng|Gegrillte Schweinespieße mit Zitronengras und Galgant; Erdnuss-Sauce · 3 Stk.|6,50|4,6
Khai vị / Vorspeisen|5|Tôm chiên cốm|Knusprig gebackene Garnelen im Corn-Mantel; Süß-Chili-Dip · 5 Stk.|6,90|1,3
Khai vị / Vorspeisen|6|Edamame|Junge Sojabohnen mit Meersalz|5,50|
Khai vị / Vorspeisen|7|Gỏi cuốn đậu phụ|Sommerrollen mit Tofu, Salat, Mango, Gurke, Kräutern, Reisnudeln und Erdnüssen · 2 Stk.|5,50|4,5,6,9
Khai vị / Vorspeisen|8|Gỏi cuốn gà|Sommerrollen mit Huhn, Salat, Mango, Gurke, Kräutern, Reisnudeln und Erdnüssen · 2 Stk.|5,90|4,5,6,9
Khai vị / Vorspeisen|9|Gỏi cuốn bò|Sommerrollen mit Rind, Salat, Mango, Gurke, Kräutern, Reisnudeln und Erdnüssen · 2 Stk.|6,50|4,5,6,9
Khai vị / Vorspeisen|10|Gỏi cuốn tôm|Sommerrollen mit Garnelen, Salat, Mango, Gurke, Kräutern, Reisnudeln und Erdnüssen · 2 Stk.|6,50|4,5,6,9
Khai vị / Vorspeisen|11|Mix Vorspeise|Gemischte Vorspeisenplatte mit Mini-Frühlingsrollen, Wantan, Garnelen sowie Sommerrollen mit Tofu und Huhn · 10 Stk.|11,90|1,3,4,5,6,9
Súp / Suppen|12|Súp rau đậu phụ|Tofu-Suppe mit Pak-Choi, Champignons, Glasnudeln, Koriander und Gemüse|5,50|2
Súp / Suppen|13|Súp gà|Hühnersuppe mit Pak-Choi, Champignons, Glasnudeln, Koriander und Gemüse|5,90|
Súp / Suppen|14|Súp Wantan đậu phụ|Wantan-Suppe mit Tofu, Pak-Choi, Champignons, Glasnudeln und Gemüse|6,50|2
Súp / Suppen|15|Súp Wantan gà|Wantan-Suppe mit Huhn, Garnelen, Pak-Choi, Glasnudeln und Gemüse|6,50|2
Súp / Suppen|16|Kokossuppe đậu phụ|Kokosmilch mit Tofu, Zitronengras, Kaffir-Limette, Galgant und Gemüse|5,50|4
Súp / Suppen|17|Kokossuppe gà|Kokosmilch mit Huhn, Zitronengras, Kaffir-Limette und Gemüse · scharf|5,90|4
Súp / Suppen|18|Súp chua cay tôm|Garnelensuppe mit Tomaten, Zucchini, Zitronengras und Kaffir-Limette · scharf und sauer|6,50|
Salate|20|Nộm xoài|Mango-Salat mit Sojasprossen, Röstzwiebeln, Erdnüssen, Koriander und Süßkartoffeln · pikant|8,50|4,5,6
Salate|21|Gỏi xoài đậu phụ|Gebackener Natur-Tofu mit Mango, Karotten, Kräutern, Röstzwiebeln und Erdnüssen; Limetten-Dressing|8,50|4,5,6
Salate|22|Gỏi vịt|Hanoi-Salat mit knuspriger Ente, Mango, Karotten, Kräutern und Erdnüssen|11,90|4,5,6
Salate|23|Nộm cá hồi|Salat mit gegrilltem Lachsfilet, Mango, Karotten, Kräutern und Erdnüssen|11,90|4,5,6
Salate|24a|Nộm miến · Tofu|Pikanter Glasnudelsalat mit Sojasprossen, Erdnüssen und Koriander|10,50|4,5,6
Salate|24b|Nộm miến · Hühnerfilet|Pikanter Glasnudelsalat mit Sojasprossen, Erdnüssen und Koriander|10,50|4,5,6
Salate|24c|Nộm miến · Rind|Pikanter Glasnudelsalat mit Sojasprossen, Erdnüssen und Koriander|11,90|4,5,6
Salate|24d|Nộm miến · Garnelen|Pikanter Glasnudelsalat mit Sojasprossen, Erdnüssen und Koriander|12,50|4,5,6
Đồ chay / Vegetarisch|30|Rau xào|Gebratenes Gemüse mit Lauchzwiebeln; dazu Reis|11,90|1,4,6
Đồ chay / Vegetarisch|31|Rau xào đậu phụ|Gebratenes Gemüse mit Tofu und Lauchzwiebeln; dazu Reis|12,90|1,4,6
Đồ chay / Vegetarisch|32|Đậu phụ Erdnuss|Tofu in Erdnuss-Kokos-Curry-Sauce mit Gemüse; dazu Reis · pikant|13,90|1,4,5,6
Đồ chay / Vegetarisch|33|Đậu phụ Curry|Tofu in Kokosmilch und rotem Curry mit Gemüse; dazu Reis · scharf|13,90|1,4,6
Đồ chay / Vegetarisch|34a|Đậu phụ chiên · Süß-Sauer-Soße|Gebackener Tofu mit Gemüse; dazu Reis|13,50|1,4,6
Đồ chay / Vegetarisch|34b|Đậu phụ chiên · Pikant-Soße|Gebackener Tofu mit Gemüse; dazu Reis|13,50|1,4,6
Đồ chay / Vegetarisch|34c|Đậu phụ chiên · Teriyaki-Soße|Gebackener Tofu mit Gemüse; dazu Reis|13,90|1,4,6
Đồ chay / Vegetarisch|34d|Đậu phụ chiên · Kokos-Soße|Gebackener Tofu mit Gemüse; dazu Reis|13,90|1,4,6
Đồ chay / Vegetarisch|34e|Đậu phụ chiên · Erdnuss-Soße|Gebackener Tofu mit Gemüse; dazu Reis|13,90|1,4,6
Đồ chay / Vegetarisch|34f|Đậu phụ chiên · Mango-Soße|Gebackener Tofu mit Gemüse; dazu Reis|13,90|1,4,6
Đồ chay / Vegetarisch|35|Đậu phụ xào sả ớt|Gebackener Bio-Tofu mit Gemüse, Knoblauch, Zitronengras und Chili; dazu Reis · scharf|12,90|1,4,6
Gà / Huhn|40|Gà chua ngọt|Knuspriges Hühnerfilet mit Ananas, Gemüse und Süß-Sauer-Sauce; dazu Reis|14,90|1,2,4,6
Gà / Huhn|41|Gà cay|Knuspriges Hühnerfilet mit Gemüse und Pikant-Sauce; dazu Reis · scharf|14,90|1,2,4,6
Gà / Huhn|42|Gà Teriyaki|Knuspriges Hühnerfilet mit Gemüse und Teriyaki-Sauce; dazu Reis|15,50|1,2,4,6,7
Gà / Huhn|43|Gà Kokos|Knuspriges Hühnerfilet mit Kokosmilch, rotem Curry und Gemüse; dazu Reis · scharf|15,50|1,2,4,6
Gà / Huhn|44|Gà xào rau|Hühnerfilet mit knackigem Gemüse; dazu Reis|13,90|1,4,6
Gà / Huhn|45|Gà xào sả ớt|Hühnerfilet mit Zitronengras, Paprika, Gemüse und Peperoni; dazu Reis · scharf|13,50|1,4,6
Gà / Huhn|46|Gà Erdnuss|Hühnerfilet in Erdnuss-Kokos-Curry-Sauce mit Gemüse; dazu Reis · pikant|14,90|1,4,6
Gà / Huhn|47|Gà Curry|Hühnerfilet mit Kokosmilch, rotem Curry und Gemüse; dazu Reis · scharf|14,90|1,4,6
Vịt / Ente|50|Vịt chua ngọt|Knusprig gebackene Ente mit Süß-Sauer-Sauce, Ananas und Gemüse; dazu Reis|16,50|1,2,4,6
Vịt / Ente|51|Vịt cay|Knusprig gebackene Ente mit Gemüse und scharfer Sauce; dazu Reis|16,50|1,2,4,6
Vịt / Ente|52|Vịt Teriyaki|Knusprig gebackene Ente mit Gemüse und Teriyaki-Sauce; dazu Reis|16,90|1,2,4,6,7
Vịt / Ente|53|Vịt Kokos|Knusprig gebackene Ente mit Kokosmilch, rotem Curry und Gemüse; dazu Reis · pikant|16,90|1,2,4,6
Vịt / Ente|54|Vịt chiên Erdnuss|Knusprig gebackene Ente in Erdnuss-Kokos-Curry-Sauce mit Gemüse; dazu Reis · pikant|16,90|1,4,5,6
Vịt / Ente|55|Vịt Mango|Knusprig gebackene Ente mit Mango-Sauce, Mango und Gemüse; dazu Reis|16,90|1,2,4,6
Vịt / Ente|56|Vịt xào rau|Entenfleisch mit Basilikum, Zitronengras, Chili und Gemüse; dazu Reis · scharf|14,90|1,4,6
Bò / Rind|60|Bò xào rau|Rindfleischstreifen mit Ingwer und Gemüse; dazu Reis|15,90|1,4,6
Bò / Rind|61|Bò xào dứa|Rindfleischstreifen mit Ananas und Gemüse; dazu Reis|15,90|1,4,6
Bò / Rind|62|Bò xào cay|Rindfleischstreifen mit Basilikum, Peperoni und Gemüse; dazu Reis · scharf|15,90|1,4,6,7
Bò / Rind|63|Bò Curry|Rindfleisch mit Kokosmilch, rotem Curry und Gemüse; dazu Reis · pikant|16,50|1,4,6
Tôm / Garnelen|64|Tôm xào tỏi|Garnelen mit Chilipaste, Zwiebeln und Gemüse; dazu Reis|17,50|1,4,6
Tôm / Garnelen|65|Tôm xào sả ớt|Garnelen mit Zitronengras, Peperoni und Gemüse; dazu Reis · leicht scharf|17,50|1,4,6
Tôm / Garnelen|66|Tôm Curry|Garnelen mit Kokosmilch, rotem Curry und Gemüse; dazu Reis · pikant|17,90|1,4,6
Đồ nướng / Gegrilltes|70|Gà nướng Mango|Gegrilltes Hühnerfilet mit Gemüse, Mango und Mango-Sauce; dazu Reis|14,90|1,4,6
Đồ nướng / Gegrilltes|71|Gà nướng cay|Gegrilltes Hühnerfilet mit Gemüse und Pikant-Sauce; dazu Reis · scharf|14,90|1,4,6
Đồ nướng / Gegrilltes|72|Gà nướng Teriyaki|Gegrilltes Hühnerfilet mit Gemüse und Teriyaki-Sauce; dazu Reis|14,90|1,4,6,7
Đồ nướng / Gegrilltes|73|Bò nướng|Gegrilltes Rind mit Salat, Mango, Erdnüssen und Süßkartoffeln|17,50|1,4,5,6
Đồ nướng / Gegrilltes|74|Tôm nướng Teriyaki|Gegrillte Garnelen mit Gemüse und Teriyaki-Sauce; dazu Reis|17,50|2,4,6,7
Đồ nướng / Gegrilltes|75|Cá hồi nướng|Gegrillter Lachs mit Salat, Mango und Süßkartoffeln|18,50|1,4,5,6
Đồ nướng / Gegrilltes|76|Cá hồi nướng cay|Gegrillter Lachs mit Salat, Mango und Süßkartoffeln · scharf|17,90|1,4,6
Đồ nướng / Gegrilltes|77|Cá hồi nướng Kokos|Gegrillter Lachs mit Kokosmilch, rotem Curry und Gemüse · pikant|18,50|1,4,6,7
Đồ nướng / Gegrilltes|78|Cá hồi nướng Mango|Gegrillter Lachs mit Mango-Sauce und Gemüse|18,50|1,4,6
Đồ nướng / Gegrilltes|79|Cá hồi nướng Teriyaki|Gegrillter Lachs mit Gemüse und Teriyaki-Sauce|18,50|1,4,6,7
Mì xào & Cơm rang / Gebratenes|80a|Mì xào · Gemüse|Gebratene Nudeln mit Gemüse und Ei|10,90|1,3,4,6
Mì xào & Cơm rang / Gebratenes|80b|Mì xào · Tofu|Gebratene Nudeln mit Gemüse und Ei|12,50|1,3,4,6
Mì xào & Cơm rang / Gebratenes|80c|Mì xào · Hähnchen|Gebratene Nudeln mit Gemüse und Ei|12,90|1,3,4,6
Mì xào & Cơm rang / Gebratenes|80d|Mì xào · Rindfleisch|Gebratene Nudeln mit Gemüse und Ei|13,90|1,3,4,6
Mì xào & Cơm rang / Gebratenes|80e|Mì xào · gebratene Ente|Gebratene Nudeln mit Gemüse und Ei|13,90|1,3,4,6
Mì xào & Cơm rang / Gebratenes|80f|Mì xào · Garnelen|Gebratene Nudeln mit Gemüse und Ei|17,50|1,3,4,6
Mì xào & Cơm rang / Gebratenes|81a|Phở xào · Gemüse|Gebratene Reisbandnudeln mit Gemüse und Ei|11,50|
Mì xào & Cơm rang / Gebratenes|81b|Phở xào · Tofu|Gebratene Reisbandnudeln mit Gemüse und Ei|12,90|
Mì xào & Cơm rang / Gebratenes|81c|Phở xào · Hähnchen|Gebratene Reisbandnudeln mit Gemüse und Ei|13,50|
Mì xào & Cơm rang / Gebratenes|81d|Phở xào · Rindfleisch|Gebratene Reisbandnudeln mit Gemüse und Ei|14,50|
Mì xào & Cơm rang / Gebratenes|81e|Phở xào · gebratene Ente|Gebratene Reisbandnudeln mit Gemüse und Ei|14,50|
Mì xào & Cơm rang / Gebratenes|81f|Phở xào · Garnelen|Gebratene Reisbandnudeln mit Gemüse und Ei|17,90|
Mì xào & Cơm rang / Gebratenes|82a|Udon xào · Gemüse|Gebratene Udon-Nudeln mit Gemüse und Ei|11,50|
Mì xào & Cơm rang / Gebratenes|82b|Udon xào · Tofu|Gebratene Udon-Nudeln mit Gemüse und Ei|12,90|
Mì xào & Cơm rang / Gebratenes|82c|Udon xào · Hähnchen|Gebratene Udon-Nudeln mit Gemüse und Ei|13,50|
Mì xào & Cơm rang / Gebratenes|82d|Udon xào · Rindfleisch|Gebratene Udon-Nudeln mit Gemüse und Ei|14,50|
Mì xào & Cơm rang / Gebratenes|82e|Udon xào · gebratene Ente|Gebratene Udon-Nudeln mit Gemüse und Ei|14,50|
Mì xào & Cơm rang / Gebratenes|82f|Udon xào · Garnelen|Gebratene Udon-Nudeln mit Gemüse und Ei|17,90|
Mì xào & Cơm rang / Gebratenes|83a|Cơm rang · Gemüse|Gebratener Reis mit Gemüse und Ei|10,90|
Mì xào & Cơm rang / Gebratenes|83b|Cơm rang · Tofu|Gebratener Reis mit Gemüse und Ei|12,50|
Mì xào & Cơm rang / Gebratenes|83c|Cơm rang · Hähnchen|Gebratener Reis mit Gemüse und Ei|12,90|
Mì xào & Cơm rang / Gebratenes|83d|Cơm rang · Rindfleisch|Gebratener Reis mit Gemüse und Ei|13,90|
Mì xào & Cơm rang / Gebratenes|83e|Cơm rang · gebratene Ente|Gebratener Reis mit Gemüse und Ei|13,90|
Mì xào & Cơm rang / Gebratenes|83f|Cơm rang · Garnelen|Gebratener Reis mit Gemüse und Ei|17,50|
Đặc sản quán / Spezialitäten|90a|Cơm niêu · Hühnerbrustfilet|Duftreis, Gemüse und Eier mit hausgemachter Sauce|14,90|3
Đặc sản quán / Spezialitäten|90b|Cơm niêu · Rindfleisch|Duftreis, Gemüse und Eier mit hausgemachter Sauce|15,90|3
Đặc sản quán / Spezialitäten|90c|Cơm niêu · Garnelen|Duftreis, Gemüse und Eier mit hausgemachter Sauce|17,90|3
Đặc sản quán / Spezialitäten|91a|Bí đỏ Sapa · Tofu|Bio-Hokkaido-Kürbis, Süßkartoffeln, Gemüse und Curry-Kokosmilch-Sauce|13,90|1,4,6
Đặc sản quán / Spezialitäten|91b|Bí đỏ Sapa · Hühnerbrustfilet|Bio-Hokkaido-Kürbis, Süßkartoffeln, Gemüse und Curry-Kokosmilch-Sauce|13,90|1,4,6
Đặc sản quán / Spezialitäten|91c|Bí đỏ Sapa · knusprige Ente|Bio-Hokkaido-Kürbis, Süßkartoffeln, Gemüse und Curry-Kokosmilch-Sauce|15,50|1,4,6
